driver_id,make,total_revenue
DRV00026,Freightliner,303795.72
DRV00026,International,398811.61
DRV00026,Kenworth,194919.07
DRV00026,Mack,303349.03
DRV00026,Peterbilt,366683.53
DRV00026,Volvo,537437.64
DRV00028,Freightliner,303456.66
DRV00028,International,312827.39
DRV00028,Kenworth,240358.75
DRV00028,Mack,297299.78
DRV00028,Peterbilt,295257.62
DRV00028,Volvo,448919.88
DRV00029,Freightliner,338944.32
DRV00029,International,356599.44
DRV00029,Kenworth,201948.83
DRV00029,Mack,352574.58
DRV00029,Peterbilt,389029.62
DRV00029,Volvo,479747.52
DRV00030,Freightliner,360042.54
DRV00030,International,425773.77
DRV00030,Kenworth,254259.15
DRV00030,Mack,295609.24
DRV00030,Peterbilt,403008.47
DRV00030,Volvo,354780.95
DRV00032,Freightliner,333579.86
DRV00032,International,390048.49
DRV00032,Kenworth,201193.05
DRV00032,Mack,260143.84
DRV00032,Peterbilt,404221.69
DRV00032,Volvo,447530.91
DRV00033,Freightliner,259037.45
DRV00033,International,387937.52
DRV00033,Kenworth,271662.49
DRV00033,Mack,291969.08
DRV00033,Peterbilt,326132.31
DRV00033,Volvo,518837.99
DRV00034,Freightliner,338940.74
DRV00034,International,311300.61
DRV00034,Kenworth,252175.92
DRV00034,Mack,260566.43
DRV00034,Peterbilt,308350.86
DRV00034,Volvo,418588.4
DRV00035,Freightliner,336555.07
DRV00035,International,410680.82
DRV00035,Kenworth,235567.92
DRV00035,Mack,236836.12
DRV00035,Peterbilt,308707.15
DRV00035,Volvo,359177.9
DRV00036,Freightliner,330908.69
DRV00036,International,422800.44
DRV00036,Kenworth,171322.88
DRV00036,Mack,390207.82
DRV00036,Peterbilt,344211.97
DRV00036,Volvo,459867.89
DRV00037,Freightliner,348263.25
DRV00037,International,439676.35
DRV00037,Kenworth,237508.75
DRV00037,Mack,334729.41
DRV00037,Peterbilt,357897.17
DRV00037,Volvo,412805.36
DRV00038,Freightliner,323651.57
DRV00038,International,414643.77
DRV00038,Kenworth,292325.51
DRV00038,Mack,323378.88
DRV00038,Peterbilt,280013.23
DRV00038,Volvo,466868.87
DRV00039,Freightliner,311071.62
DRV00039,International,325000.91
DRV00039,Kenworth,276076.07
DRV00039,Mack,354499.05
DRV00039,Peterbilt,392538.82
DRV00039,Volvo,376347.68
DRV00041,Freightliner,335146.12
DRV00041,International,328948.51
DRV00041,Kenworth,248664.77
DRV00041,Mack,353926.55
DRV00041,Peterbilt,290171.68
DRV00041,Volvo,336740.95
DRV00043,Freightliner,323898.06
DRV00043,International,278934.83
DRV00043,Kenworth,281486.82
DRV00043,Mack,299076.46
DRV00043,Peterbilt,385593.95
DRV00043,Volvo,382156.82
DRV00044,Freightliner,374530.36
DRV00044,International,357282.48
DRV00044,Kenworth,224567.79
DRV00044,Mack,281115.54
DRV00044,Peterbilt,353838.61
DRV00044,Volvo,453563.68
DRV00045,Freightliner,289395.97
DRV00045,International,307874.39
DRV00045,Kenworth,282137.99
DRV00045,Mack,263110.17
DRV00045,Peterbilt,310155.81
DRV00045,Volvo,411858.62
DRV00047,Freightliner,362767.19
DRV00047,International,391187.95
DRV00047,Kenworth,241381.38
DRV00047,Mack,349108.35
DRV00047,Peterbilt,329288.13
DRV00047,Volvo,454354.95
DRV00049,Freightliner,250288.09
DRV00049,International,326106.01
DRV00049,Kenworth,268589.02
DRV00049,Mack,335301.67
DRV00049,Peterbilt,387418.07
DRV00049,Volvo,314770.37
DRV00050,Freightliner,383189.57
DRV00050,International,375469.09
DRV00050,Kenworth,191468.69
DRV00050,Mack,287603.94
DRV00050,Peterbilt,320603.58
DRV00050,Volvo,392028.81
DRV00051,Freightliner,351459.26
DRV00051,International,453097.72
DRV00051,Kenworth,291832.31
DRV00051,Mack,362827.97
DRV00051,Peterbilt,367108.95
DRV00051,Volvo,417115.18
DRV00053,Freightliner,345320.82
DRV00053,International,337059.69
DRV00053,Kenworth,238973.66
DRV00053,Mack,273553.33
DRV00053,Peterbilt,292170.48
DRV00053,Volvo,396915.0
DRV00054,Freightliner,264703.14
DRV00054,International,384980.21
DRV00054,Kenworth,311573.45
DRV00054,Mack,323079.12
DRV00054,Peterbilt,429201.17
DRV00054,Volvo,394127.64
DRV00055,Freightliner,366072.7
DRV00055,International,397865.62
DRV00055,Kenworth,248291.5
DRV00055,Mack,262696.27
DRV00055,Peterbilt,312748.65
DRV00055,Volvo,465437.33
DRV00056,Freightliner,353114.45
DRV00056,International,420810.14
DRV00056,Kenworth,221439.87
DRV00056,Mack,262150.92
DRV00056,Peterbilt,345168.28
DRV00056,Volvo,459485.56
DRV00057,Freightliner,306754.45
DRV00057,International,428384.82
DRV00057,Kenworth,217920.4
DRV00057,Mack,329276.7
DRV00057,Peterbilt,307702.76
DRV00057,Volvo,372977.63
DRV00058,Freightliner,269835.01
DRV00058,International,450832.88
DRV00058,Kenworth,254973.01
DRV00058,Mack,261388.74
DRV00058,Peterbilt,379732.19
DRV00058,Volvo,366467.05
DRV00059,Freightliner,323104.03
DRV00059,International,433471.77
DRV00059,Kenworth,216584.13
DRV00059,Mack,336999.2
DRV00059,Peterbilt,391283.38
DRV00059,Volvo,566003.23
DRV00060,Freightliner,331947.28
DRV00060,International,368988.27
DRV00060,Kenworth,240770.7
DRV00060,Mack,294302.86
DRV00060,Peterbilt,325260.33
DRV00060,Volvo,418646.73
DRV00061,Freightliner,372563.09
DRV00061,International,359332.68
DRV00061,Kenworth,234662.91
DRV00061,Mack,324342.4
DRV00061,Peterbilt,339663.35
DRV00061,Volvo,345998.34
DRV00062,Freightliner,364895.62
DRV00062,International,337166.21
DRV00062,Kenworth,185450.46
DRV00062,Mack,355008.43
DRV00062,Peterbilt,421281.74
DRV00062,Volvo,415465.82
DRV00063,Freightliner,407567.47
DRV00063,International,323585.85
DRV00063,Kenworth,227340.85
DRV00063,Mack,262566.55
DRV00063,Peterbilt,384425.86
DRV00063,Volvo,442928.74
DRV00064,Freightliner,323965.95
DRV00064,International,356389.74
DRV00064,Kenworth,233154.3
DRV00064,Mack,251513.85
DRV00064,Peterbilt,320694.08
DRV00064,Volvo,333563.91
DRV00065,Freightliner,257086.89
DRV00065,International,441349.87
DRV00065,Kenworth,206700.62
DRV00065,Mack,309197.55
DRV00065,Peterbilt,404097.51
DRV00065,Volvo,427875.22
DRV00066,Freightliner,284677.03
DRV00066,International,433329.31
DRV00066,Kenworth,285372.63
DRV00066,Mack,317555.94
DRV00066,Peterbilt,357676.06
DRV00066,Volvo,474154.81
DRV00069,Freightliner,399975.95
DRV00069,International,413502.02
DRV00069,Kenworth,299293.79
DRV00069,Mack,296000.68
DRV00069,Peterbilt,346535.4
DRV00069,Volvo,393717.63
DRV00070,Freightliner,303829.45
DRV00070,International,373142.49
DRV00070,Kenworth,209766.56
DRV00070,Mack,322202.36
DRV00070,Peterbilt,382171.94
DRV00070,Volvo,453147.33
DRV00071,Freightliner,325020.99
DRV00071,International,354890.25
DRV00071,Kenworth,251474.19
DRV00071,Mack,289848.11
DRV00071,Peterbilt,286375.39
DRV00071,Volvo,475733.49
DRV00074,Freightliner,315795.3
DRV00074,International,339017.28
DRV00074,Kenworth,262155.3
DRV00074,Mack,298797.85
DRV00074,Peterbilt,316936.44
DRV00074,Volvo,320318.88
DRV00075,Freightliner,266639.55
DRV00075,International,333595.91
DRV00075,Kenworth,280337.67
DRV00075,Mack,270158.07
DRV00075,Peterbilt,351812.01
DRV00075,Volvo,453742.46
DRV00077,Freightliner,296311.64
DRV00077,International,419821.93
DRV00077,Kenworth,268679.03
DRV00077,Mack,285746.4
DRV00077,Peterbilt,306674.75
DRV00077,Volvo,341571.79
DRV00078,Freightliner,372361.22
DRV00078,International,366571.62
DRV00078,Kenworth,273211.6
DRV00078,Mack,325476.91
DRV00078,Peterbilt,342934.3
DRV00078,Volvo,452407.87
DRV00079,Freightliner,351749.41
DRV00079,International,388896.1
DRV00079,Kenworth,205629.29
DRV00079,Mack,315555.74
DRV00079,Peterbilt,346835.97
DRV00079,Volvo,453773.18
DRV00080,Freightliner,308054.84
DRV00080,International,365827.8
DRV00080,Kenworth,213353.59
DRV00080,Mack,231670.91
DRV00080,Peterbilt,295575.53
DRV00080,Volvo,387152.27
DRV00081,Freightliner,298167.6
DRV00081,International,412908.43
DRV00081,Kenworth,244249.07
DRV00081,Mack,325663.19
DRV00081,Peterbilt,365292.86
DRV00081,Volvo,343233.22
DRV00082,Freightliner,369728.55
DRV00082,International,328330.47
DRV00082,Kenworth,249242.46
DRV00082,Mack,289026.22
DRV00082,Peterbilt,390444.46
DRV00082,Volvo,439052.57
DRV00083,Freightliner,347071.83
DRV00083,International,401699.31
DRV00083,Kenworth,163738.7
DRV00083,Mack,250759.53
DRV00083,Peterbilt,390533.08
DRV00083,Volvo,491619.96
DRV00084,Freightliner,332602.25
DRV00084,International,323293.95
DRV00084,Kenworth,238021.75
DRV00084,Mack,290443.9
DRV00084,Peterbilt,360220.99
DRV00084,Volvo,383528.79
DRV00085,Freightliner,386880.24
DRV00085,International,376035.36
DRV00085,Kenworth,210292.3
DRV00085,Mack,329646.06
DRV00085,Peterbilt,412170.54
DRV00085,Volvo,454311.68
DRV00087,Freightliner,360795.85
DRV00087,International,384113.78
DRV00087,Kenworth,238683.17
DRV00087,Mack,352528.56
DRV00087,Peterbilt,404576.66
DRV00087,Volvo,438197.96
DRV00088,Freightliner,397374.81
DRV00088,International,374034.24
DRV00088,Kenworth,174383.62
DRV00088,Mack,290738.88
DRV00088,Peterbilt,329211.94
DRV00088,Volvo,455318.47
DRV00089,Freightliner,389485.09
DRV00089,International,369331.78
DRV00089,Kenworth,170097.67
DRV00089,Mack,328763.97
DRV00089,Peterbilt,318815.72
DRV00089,Volvo,399655.69
DRV00090,Freightliner,384028.44
DRV00090,International,368465.08
DRV00090,Kenworth,235934.27
DRV00090,Mack,271826.93
DRV00090,Peterbilt,362956.86
DRV00090,Volvo,442714.01
DRV00091,Freightliner,314888.32
DRV00091,International,286571.43
DRV00091,Kenworth,202480.18
DRV00091,Mack,235713.5
DRV00091,Peterbilt,388705.2
DRV00091,Volvo,411998.24
DRV00092,Freightliner,326740.6
DRV00092,International,383110.97
DRV00092,Kenworth,256971.54
DRV00092,Mack,368187.99
DRV00092,Peterbilt,422552.69
DRV00092,Volvo,375656.66
DRV00094,Freightliner,374235.05
DRV00094,International,382523.93
DRV00094,Kenworth,241025.84
DRV00094,Mack,323146.51
DRV00094,Peterbilt,352653.73
DRV00094,Volvo,378029.55
DRV00095,Freightliner,280402.88
DRV00095,International,397822.7
DRV00095,Kenworth,217729.71
DRV00095,Mack,261981.34
DRV00095,Peterbilt,282156.6
DRV00095,Volvo,422467.8
DRV00097,Freightliner,320048.37
DRV00097,International,352209.53
DRV00097,Kenworth,244021.8
DRV00097,Mack,314409.78
DRV00097,Peterbilt,349569.68
DRV00097,Volvo,371510.76
DRV00098,Freightliner,342691.96
DRV00098,International,350527.33
DRV00098,Kenworth,220913.53
DRV00098,Mack,434308.26
DRV00098,Peterbilt,345529.05
DRV00098,Volvo,363538.0
DRV00099,Freightliner,349205.65
DRV00099,International,398220.2
DRV00099,Kenworth,242765.35
DRV00099,Mack,283790.07
DRV00099,Peterbilt,352734.12
DRV00099,Volvo,474696.3
DRV00100,Freightliner,344561.51
DRV00100,International,330287.73
DRV00100,Kenworth,243185.26
DRV00100,Mack,310874.57
DRV00100,Peterbilt,349958.67
DRV00100,Volvo,463781.8
DRV00101,Freightliner,412073.46
DRV00101,International,378526.55
DRV00101,Kenworth,210221.09
DRV00101,Mack,352691.83
DRV00101,Peterbilt,306089.05
DRV00101,Volvo,413217.21
DRV00102,Freightliner,376837.93
DRV00102,International,368477.56
DRV00102,Kenworth,227760.86
DRV00102,Mack,287388.98
DRV00102,Peterbilt,357366.49
DRV00102,Volvo,366466.78
DRV00103,Freightliner,308541.41
DRV00103,International,333489.83
DRV00103,Kenworth,185400.11
DRV00103,Mack,246058.42
DRV00103,Peterbilt,407799.26
DRV00103,Volvo,528121.04
DRV00104,Freightliner,407734.99
DRV00104,International,309640.26
DRV00104,Kenworth,222905.79
DRV00104,Mack,285331.75
DRV00104,Peterbilt,360087.05
DRV00104,Volvo,389693.24
DRV00105,Freightliner,343373.26
DRV00105,International,364130.79
DRV00105,Kenworth,259985.28
DRV00105,Mack,299116.56
DRV00105,Peterbilt,365119.15
DRV00105,Volvo,439326.33
DRV00107,Freightliner,320866.82
DRV00107,International,389358.98
DRV00107,Kenworth,264265.3
DRV00107,Mack,209216.29
DRV00107,Peterbilt,356187.69
DRV00107,Volvo,367330.27
DRV00108,Freightliner,298340.52
DRV00108,International,361562.65
DRV00108,Kenworth,291700.84
DRV00108,Mack,441871.23
DRV00108,Peterbilt,440192.89
DRV00108,Volvo,409804.1
DRV00109,Freightliner,315423.28
DRV00109,International,387614.61
DRV00109,Kenworth,250797.21
DRV00109,Mack,295374.26
DRV00109,Peterbilt,347775.74
DRV00109,Volvo,433147.11
DRV00110,Freightliner,361627.77
DRV00110,International,357914.34
DRV00110,Kenworth,263493.87
DRV00110,Mack,297776.84
DRV00110,Peterbilt,295445.02
DRV00110,Volvo,405336.43
DRV00111,Freightliner,364123.11
DRV00111,International,336784.34
DRV00111,Kenworth,273950.07
DRV00111,Mack,260431.98
DRV00111,Peterbilt,321301.03
DRV00111,Volvo,380864.41
DRV00112,Freightliner,274816.13
DRV00112,International,336902.03
DRV00112,Kenworth,217292.96
DRV00112,Mack,278889.02
DRV00112,Peterbilt,329615.09
DRV00112,Volvo,456136.94
DRV00113,Freightliner,379365.35
DRV00113,International,400990.67
DRV00113,Kenworth,231785.41
DRV00113,Mack,274870.33
DRV00113,Peterbilt,347700.37
DRV00113,Volvo,340386.02
DRV00114,Freightliner,370868.84
DRV00114,International,330894.97
DRV00114,Kenworth,276332.55
DRV00114,Mack,306709.23
DRV00114,Peterbilt,370539.58
DRV00114,Volvo,506118.21
DRV00117,Freightliner,273286.03
DRV00117,International,382294.05
DRV00117,Kenworth,291712.03
DRV00117,Mack,249605.69
DRV00117,Peterbilt,324706.43
DRV00117,Volvo,477284.44
DRV00118,Freightliner,344257.07
DRV00118,International,312898.86
DRV00118,Kenworth,217590.06
DRV00118,Mack,393410.27
DRV00118,Peterbilt,318634.86
DRV00118,Volvo,379451.65
DRV00119,Freightliner,284790.99
DRV00119,International,338557.42
DRV00119,Kenworth,237659.13
DRV00119,Mack,285011.23
DRV00119,Peterbilt,339689.3
DRV00119,Volvo,446834.25
DRV00120,Freightliner,222968.87
DRV00120,International,386143.56
DRV00120,Kenworth,251972.43
DRV00120,Mack,274343.51
DRV00120,Peterbilt,338968.58
DRV00120,Volvo,440878.79
DRV00121,Freightliner,333387.94
DRV00121,International,404042.96
DRV00121,Kenworth,219701.62
DRV00121,Mack,271769.16
DRV00121,Peterbilt,381727.77
DRV00121,Volvo,448618.21
DRV00122,Freightliner,315993.4
DRV00122,International,297495.5
DRV00122,Kenworth,219076.75
DRV00122,Mack,341532.59
DRV00122,Peterbilt,263795.26
DRV00122,Volvo,373763.22
DRV00123,Freightliner,320665.89
DRV00123,International,383067.34
DRV00123,Kenworth,275138.99
DRV00123,Mack,253970.58
DRV00123,Peterbilt,368270.36
DRV00123,Volvo,395951.82
DRV00124,Freightliner,349220.67
DRV00124,International,426468.84
DRV00124,Kenworth,309716.13
DRV00124,Mack,211392.95
DRV00124,Peterbilt,326931.8
DRV00124,Volvo,419479.69
DRV00125,Freightliner,305564.36
DRV00125,International,455302.49
DRV00125,Kenworth,251348.15
DRV00125,Mack,272675.01
DRV00125,Peterbilt,353894.21
DRV00125,Volvo,418487.93
DRV00126,Freightliner,298447.25
DRV00126,International,377727.5
DRV00126,Kenworth,215914.41
DRV00126,Mack,286603.61
DRV00126,Peterbilt,451373.68
DRV00126,Volvo,383818.07
DRV00127,Freightliner,300203.38
DRV00127,International,394993.56
DRV00127,Kenworth,242685.49
DRV00127,Mack,320935.72
DRV00127,Peterbilt,414993.09
DRV00127,Volvo,560884.93
DRV00128,Freightliner,341990.91
DRV00128,International,390234.8
DRV00128,Kenworth,233344.65
DRV00128,Mack,335127.42
DRV00128,Peterbilt,366815.01
DRV00128,Volvo,459020.81
DRV00129,Freightliner,394161.24
DRV00129,International,421927.94
DRV00129,Kenworth,239024.92
DRV00129,Mack,310537.6
DRV00129,Peterbilt,328039.89
DRV00129,Volvo,448814.53
DRV00130,Freightliner,326495.98
DRV00130,International,437466.69
DRV00130,Kenworth,275205.19
DRV00130,Mack,303129.65
DRV00130,Peterbilt,323658.3
DRV00130,Volvo,436831.7
DRV00132,Freightliner,356607.92
DRV00132,International,397454.98
DRV00132,Kenworth,260568.88
DRV00132,Mack,359491.03
DRV00132,Peterbilt,354592.96
DRV00132,Volvo,368040.6
DRV00133,Freightliner,382783.56
DRV00133,International,314075.08
DRV00133,Kenworth,308476.63
DRV00133,Mack,378166.67
DRV00133,Peterbilt,334838.72
DRV00133,Volvo,382258.65
DRV00134,Freightliner,409109.3
DRV00134,International,366020.59
DRV00134,Kenworth,258705.31
DRV00134,Mack,310678.89
DRV00134,Peterbilt,322756.12
DRV00134,Volvo,439022.62
DRV00138,Freightliner,348627.36
DRV00138,International,379806.84
DRV00138,Kenworth,313891.83
DRV00138,Mack,278089.19
DRV00138,Peterbilt,401786.37
DRV00138,Volvo,342113.31
DRV00139,Freightliner,402974.68
DRV00139,International,416287.01
DRV00139,Kenworth,220556.56
DRV00139,Mack,277506.22
DRV00139,Peterbilt,358476.95
DRV00139,Volvo,453846.62
DRV00141,Freightliner,343169.59
DRV00141,International,360543.44
DRV00141,Kenworth,252680.04
DRV00141,Mack,307290.17
DRV00141,Peterbilt,371282.43
DRV00141,Volvo,424770.84
DRV00142,Freightliner,326010.62
DRV00142,International,439513.16
DRV00142,Kenworth,279206.96
DRV00142,Mack,310292.13
DRV00142,Peterbilt,366565.38
DRV00142,Volvo,387118.46
DRV00143,Freightliner,332479.32
DRV00143,International,375374.46
DRV00143,Kenworth,288349.0
DRV00143,Mack,337776.29
DRV00143,Peterbilt,315195.28
DRV00143,Volvo,408824.95
DRV00144,Freightliner,335770.93
DRV00144,International,389203.87
DRV00144,Kenworth,289787.53
DRV00144,Mack,379719.26
DRV00144,Peterbilt,312290.54
DRV00144,Volvo,402555.3
DRV00145,Freightliner,343544.7
DRV00145,International,388990.06
DRV00145,Kenworth,183401.97
DRV00145,Mack,344095.69
DRV00145,Peterbilt,350074.95
DRV00145,Volvo,437463.04
DRV00146,Freightliner,335587.89
DRV00146,International,367073.01
DRV00146,Kenworth,266043.29
DRV00146,Mack,292337.6
DRV00146,Peterbilt,363710.98
DRV00146,Volvo,429035.01
DRV00147,Freightliner,370769.62
DRV00147,International,442695.31
DRV00147,Kenworth,189130.96
DRV00147,Mack,301066.89
DRV00147,Peterbilt,420345.15
DRV00147,Volvo,486808.11
DRV00148,Freightliner,281828.47
DRV00148,International,373810.91
DRV00148,Kenworth,233943.36
DRV00148,Mack,348474.6
DRV00148,Peterbilt,371584.05
DRV00148,Volvo,382661.74
DRV00149,Freightliner,369457.37
DRV00149,International,421980.91
DRV00149,Kenworth,271550.36
DRV00149,Mack,363715.33
DRV00149,Peterbilt,309490.78
DRV00149,Volvo,481904.56
DRV00150,Freightliner,324453.58
DRV00150,International,378582.91
DRV00150,Kenworth,271056.92
DRV00150,Mack,294718.54
DRV00150,Peterbilt,366880.95
DRV00150,Volvo,392536.78
,Freightliner,839872.95
,International,898415.62
,Kenworth,632112.19
,Mack,801684.63
,Peterbilt,840999.01
,Volvo,1134446.79
