customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
CUST00185,567,447,1362093.27,2,2,2,Lost
CUST00015,567,442,1361508.4,1,2,2,Lost
CUST00192,567,435,1360998.63,1,2,2,Lost
CUST00193,569,415,1360973.63,4,4,2,Loyal
CUST00059,570,433,1360210.35,4,3,2,Loyal
CUST00138,569,454,1358967.84,4,1,2,Recent
CUST00130,569,430,1358234.19,4,3,2,Loyal
CUST00023,569,442,1357587.21,4,2,2,Recent
CUST00027,567,417,1357303.31,2,4,2,At Risk
CUST00044,568,435,1355292.51,3,2,2,Loyal
CUST00096,568,435,1353736.06,2,2,2,Lost
CUST00053,567,429,1352628.33,1,3,2,Loyal
CUST00057,568,428,1347738.29,3,3,2,Loyal
CUST00082,568,431,1346678.04,3,3,2,Loyal
CUST00020,572,421,1344682.15,5,3,2,Loyal
CUST00010,567,424,1342987.58,2,3,2,Loyal
CUST00187,567,436,1339528.67,1,2,2,Lost
CUST00058,568,453,1339225.58,3,1,3,Loyal
CUST00182,567,415,1338825.87,2,4,3,At Risk
CUST00140,568,439,1337100.45,3,2,3,Loyal
CUST00108,568,456,1333896.48,3,1,3,Loyal
CUST00084,567,443,1333282.23,1,2,3,Lost
CUST00162,567,444,1332576.13,1,2,3,Lost
CUST00085,569,421,1329863.0,4,3,3,Loyal
CUST00019,567,437,1327655.2,1,2,3,Lost
CUST00061,568,446,1323828.82,3,2,3,Loyal
CUST00169,567,426,1322005.02,1,3,3,Loyal
CUST00099,568,441,1320658.08,3,2,3,Loyal
CUST00128,567,446,1319668.47,1,2,3,Lost
CUST00139,567,414,1319304.14,2,4,3,At Risk
CUST00005,569,418,1317832.28,4,4,3,Loyal
CUST00104,578,432,1316546.11,5,3,3,Loyal
CUST00105,573,423,1315696.02,5,3,3,Loyal
CUST00184,568,435,1313084.54,3,2,3,Loyal
CUST00078,570,424,1307620.36,4,3,3,Loyal
CUST00091,571,414,1307403.24,5,4,3,Loyal
CUST00098,571,419,1305796.93,5,3,3,Loyal
CUST00066,567,422,1304636.93,2,3,3,Loyal
CUST00170,575,417,1303201.95,5,4,3,Loyal
CUST00063,572,423,1301761.0,5,3,3,Loyal
CUST00150,567,423,1301078.23,2,3,3,Loyal
CUST00052,570,418,1300587.82,4,3,3,Loyal
CUST00014,567,445,1299339.83,1,2,3,Lost
CUST00179,567,428,1298680.62,1,3,3,Loyal
CUST00127,568,421,1298629.49,2,3,3,Loyal
CUST00175,572,434,1295575.23,5,3,3,Loyal
CUST00152,567,420,1294063.42,2,3,3,Loyal
CUST00060,573,438,1293542.38,5,2,3,Recent
CUST00040,567,397,1292863.72,2,5,3,At Risk
CUST00083,572,440,1292360.37,5,2,3,Recent
CUST00178,568,428,1291846.55,3,3,3,Loyal
CUST00194,569,434,1291768.16,4,3,3,Loyal
CUST00161,567,424,1289760.48,1,3,3,Loyal
CUST00116,568,419,1288735.66,2,3,3,Loyal
CUST00042,580,418,1287925.87,5,3,3,Loyal
CUST00030,569,413,1287244.45,4,4,3,Loyal
CUST00180,569,415,1286854.91,4,4,3,Loyal
CUST00050,575,425,1286487.53,5,3,4,Loyal
CUST00009,567,417,1285479.38,2,4,4,At Risk
CUST00165,568,411,1283914.32,2,4,4,At Risk
CUST00068,570,403,1282929.87,4,5,4,Champions
CUST00158,571,436,1281108.46,5,2,4,Recent
CUST00142,578,397,1279684.01,5,5,4,Champions
CUST00047,567,406,1278886.37,1,4,4,At Risk
CUST00067,569,411,1277104.4,4,4,4,Champions
CUST00163,569,421,1272461.21,4,3,4,Loyal
CUST00006,567,401,1272423.89,1,5,4,At Risk
CUST00115,570,407,1272325.62,4,4,4,Champions
CUST00008,567,405,1271882.64,1,4,4,At Risk
CUST00103,567,410,1270280.25,2,4,4,At Risk
CUST00090,569,426,1269041.61,4,3,4,Loyal
CUST00174,568,412,1268580.36,2,4,4,At Risk
CUST00065,567,412,1268337.9,2,4,4,At Risk
CUST00080,567,414,1267848.08,2,4,4,At Risk
CUST00198,571,408,1267734.99,5,4,4,Champions
CUST00171,569,403,1265181.02,4,5,4,Champions
CUST00017,568,417,1265014.18,2,4,4,At Risk
CUST00183,571,411,1263245.06,5,4,4,Champions
CUST00032,572,416,1260706.43,5,4,4,Champions
CUST00018,567,412,1260286.2,2,4,4,At Risk
CUST00188,567,411,1259182.27,1,4,4,At Risk
CUST00117,568,415,1258530.66,3,4,4,Loyal
CUST00074,569,425,1255982.48,4,3,4,Loyal
CUST00016,567,404,1255779.37,1,5,4,At Risk
CUST00011,567,420,1252451.79,2,3,4,Loyal
CUST00086,569,429,1250784.67,4,3,4,Loyal
CUST00064,568,409,1248655.94,3,4,4,Loyal
CUST00172,570,420,1247107.84,4,3,4,Loyal
CUST00147,573,385,1244963.54,5,5,4,Champions
CUST00055,572,429,1244544.47,5,3,4,Loyal
CUST00141,572,393,1241692.63,5,5,4,Champions
CUST00131,572,415,1240113.88,5,4,4,Champions
CUST00189,567,409,1236768.44,1,4,4,At Risk
CUST00148,569,428,1236375.06,4,3,4,Loyal
CUST00036,568,414,1230709.75,3,4,4,Loyal
CUST00056,572,403,1230166.31,5,5,4,Champions
CUST00191,568,413,1229648.29,3,4,4,Loyal
CUST00037,571,396,1227991.56,5,5,5,Champions
CUST00126,570,405,1227655.78,5,5,5,Champions
CUST00155,574,412,1221111.64,5,4,5,Champions
CUST00186,568,410,1220840.21,2,4,5,At Risk
CUST00132,573,400,1219826.6,5,5,5,Champions
CUST00121,567,411,1218525.56,2,4,5,At Risk
CUST00024,567,404,1217262.46,1,5,5,At Risk
CUST00093,567,399,1216541.65,1,5,5,At Risk
CUST00054,568,407,1215355.4,2,4,5,At Risk
CUST00112,569,396,1214918.25,4,5,5,Champions
CUST00157,578,403,1211569.33,5,5,5,Champions
CUST00113,568,414,1210698.46,3,4,5,Loyal
CUST00092,571,387,1208780.18,5,5,5,Champions
CUST00043,576,400,1207359.22,5,5,5,Champions
CUST00079,567,403,1206986.44,1,5,5,At Risk
CUST00159,567,407,1206583.0,1,4,5,At Risk
CUST00046,568,394,1206257.86,3,5,5,Loyal
CUST00069,568,381,1204862.83,2,5,5,At Risk
CUST00004,567,401,1204644.72,1,5,5,At Risk
CUST00118,570,403,1203287.67,4,5,5,Champions
CUST00039,567,412,1201921.32,2,4,5,At Risk
CUST00045,568,413,1201813.25,3,4,5,Loyal
CUST00199,568,403,1188362.74,3,5,5,Loyal
CUST00034,569,399,1188145.86,4,5,5,Champions
CUST00025,567,413,1181340.71,2,4,5,At Risk
CUST00100,571,400,1178611.21,5,5,5,Champions
CUST00049,568,388,1178424.66,3,5,5,Loyal
CUST00003,567,392,1171445.47,2,5,5,At Risk
CUST00095,568,402,1171211.04,3,5,5,Loyal
CUST00089,569,374,1167658.48,3,5,5,Loyal
CUST00041,569,377,1166699.18,4,5,5,Champions
CUST00114,569,400,1160827.89,4,5,5,Champions
CUST00167,570,396,1157284.09,4,5,5,Champions
CUST00031,570,385,1156403.16,4,5,5,Champions
CUST00153,568,384,1153057.52,3,5,5,Loyal
CUST00109,572,375,1152769.5,5,5,5,Champions
CUST00151,567,374,1148596.86,1,5,5,At Risk
CUST00071,567,383,1142845.27,1,5,5,At Risk
CUST00156,568,382,1128763.05,2,5,5,At Risk
CUST00149,569,400,1078045.01,4,5,5,Champions
