driver_id,quarter,prev_quarter_rate,on_time_rate,point_change
DRV00079,2022-04-01,61.79,51.02,-10.77
DRV00089,2024-01-01,65.31,54.55,-10.76
DRV00074,2023-07-01,56.44,45.69,-10.75
DRV00101,2024-10-01,62.11,51.38,-10.73
DRV00055,2023-01-01,57.94,47.22,-10.72
DRV00038,2025-01-01,60.71,50.0,-10.71
DRV00011,2024-07-01,60.65,50.0,-10.65
DRV00141,2023-04-01,62.4,51.76,-10.64
DRV00141,2022-10-01,55.14,44.55,-10.59
DRV00054,2023-07-01,62.5,51.97,-10.53
DRV00044,2024-10-01,61.9,51.43,-10.47
DRV00011,2022-07-01,65.18,54.74,-10.44
DRV00032,2022-04-01,56.73,46.3,-10.43
DRV00124,2023-07-01,61.7,51.28,-10.42
DRV00023,2023-07-01,62.2,51.8,-10.4
DRV00049,2022-04-01,60.78,50.46,-10.32
DRV00044,2023-07-01,56.36,46.09,-10.27
DRV00025,2024-07-01,61.8,51.64,-10.16
DRV00065,2022-04-01,55.36,45.3,-10.06
DRV00117,2022-07-01,62.61,52.58,-10.03
DRV00141,2023-10-01,69.51,59.5,-10.01
