trip_id,truck_id,fuel_gallons_used,truck_avg,truck_stddev
TRIP00000736,TRK00009,486.9,225.33,124.85
TRIP00001585,TRK00009,503.1,225.33,124.85
TRIP00022216,TRK00009,509.1,225.33,124.85
TRIP00024210,TRK00009,529.0,225.33,124.85
TRIP00028840,TRK00009,495.1,225.33,124.85
TRIP00045734,TRK00009,563.8,225.33,124.85
TRIP00051791,TRK00009,483.5,225.33,124.85
TRIP00058753,TRK00009,510.4,225.33,124.85
TRIP00059836,TRK00009,544.7,225.33,124.85
TRIP00062567,TRK00009,539.9,225.33,124.85
TRIP00062798,TRK00009,494.3,225.33,124.85
TRIP00064036,TRK00009,503.6,225.33,124.85
TRIP00065142,TRK00009,485.0,225.33,124.85
TRIP00066304,TRK00009,492.5,225.33,124.85
TRIP00080076,TRK00009,505.6,225.33,124.85
TRIP00000523,TRK00010,501.4,218.54,125.75
TRIP00000613,TRK00010,486.3,218.54,125.75
TRIP00005755,TRK00010,513.6,218.54,125.75
TRIP00008002,TRK00010,471.9,218.54,125.75
TRIP00012980,TRK00010,473.2,218.54,125.75
TRIP00016182,TRK00010,485.1,218.54,125.75
TRIP00016536,TRK00010,493.5,218.54,125.75
TRIP00017068,TRK00010,485.4,218.54,125.75
TRIP00024671,TRK00010,563.1,218.54,125.75
TRIP00027185,TRK00010,544.0,218.54,125.75
TRIP00027643,TRK00010,573.8,218.54,125.75
TRIP00031319,TRK00010,476.2,218.54,125.75
TRIP00034170,TRK00010,539.2,218.54,125.75
TRIP00048940,TRK00010,480.7,218.54,125.75
TRIP00050670,TRK00010,523.5,218.54,125.75
TRIP00067498,TRK00010,476.9,218.54,125.75
TRIP00067959,TRK00010,521.7,218.54,125.75
TRIP00073504,TRK00010,497.3,218.54,125.75
TRIP00077105,TRK00010,553.4,218.54,125.75
TRIP00077940,TRK00010,551.2,218.54,125.75
TRIP00080068,TRK00010,571.6,218.54,125.75
TRIP00085306,TRK00010,505.8,218.54,125.75
TRIP00010120,TRK00011,500.5,217.59,126.44
TRIP00013116,TRK00011,583.4,217.59,126.44
TRIP00017711,TRK00011,502.6,217.59,126.44
TRIP00021945,TRK00011,491.6,217.59,126.44
TRIP00026331,TRK00011,494.5,217.59,126.44
TRIP00028426,TRK00011,591.4,217.59,126.44
TRIP00030346,TRK00011,587.5,217.59,126.44
TRIP00035598,TRK00011,545.1,217.59,126.44
TRIP00037923,TRK00011,540.5,217.59,126.44
TRIP00057941,TRK00011,492.6,217.59,126.44
TRIP00076385,TRK00011,481.6,217.59,126.44
TRIP00082886,TRK00011,488.2,217.59,126.44
TRIP00084382,TRK00011,476.5,217.59,126.44
TRIP00001595,TRK00012,527.0,224.93,125.8
TRIP00002425,TRK00012,488.2,224.93,125.8
TRIP00002703,TRK00012,479.8,224.93,125.8
TRIP00006856,TRK00012,482.9,224.93,125.8
TRIP00009645,TRK00012,507.5,224.93,125.8
TRIP00020284,TRK00012,507.4,224.93,125.8
TRIP00024947,TRK00012,481.6,224.93,125.8
TRIP00026466,TRK00012,485.4,224.93,125.8
TRIP00036441,TRK00012,478.1,224.93,125.8
TRIP00044000,TRK00012,517.7,224.93,125.8
TRIP00048450,TRK00012,478.8,224.93,125.8
TRIP00051023,TRK00012,525.5,224.93,125.8
TRIP00076522,TRK00012,491.6,224.93,125.8
TRIP00078919,TRK00012,611.4,224.93,125.8
TRIP00082920,TRK00012,577.6,224.93,125.8
TRIP00084796,TRK00012,477.6,224.93,125.8
TRIP00001042,TRK00013,490.9,220.45,125.95
TRIP00002308,TRK00013,479.1,220.45,125.95
TRIP00033196,TRK00013,566.5,220.45,125.95
TRIP00036378,TRK00013,491.0,220.45,125.95
TRIP00036522,TRK00013,504.0,220.45,125.95
TRIP00040352,TRK00013,500.9,220.45,125.95
TRIP00043131,TRK00013,581.9,220.45,125.95
TRIP00055685,TRK00013,495.1,220.45,125.95
TRIP00059792,TRK00013,489.1,220.45,125.95
TRIP00059957,TRK00013,550.0,220.45,125.95
TRIP00060093,TRK00013,491.1,220.45,125.95
TRIP00061264,TRK00013,490.8,220.45,125.95
TRIP00062858,TRK00013,494.8,220.45,125.95
TRIP00065893,TRK00013,552.0,220.45,125.95
TRIP00071739,TRK00013,480.6,220.45,125.95
TRIP00073339,TRK00013,490.4,220.45,125.95
TRIP00078096,TRK00013,478.2,220.45,125.95
TRIP00079413,TRK00013,499.0,220.45,125.95
TRIP00082985,TRK00013,488.7,220.45,125.95
TRIP00014355,TRK00014,514.8,216.18,126.92
TRIP00020431,TRK00014,490.9,216.18,126.92
TRIP00020886,TRK00014,552.4,216.18,126.92
TRIP00027964,TRK00014,506.0,216.18,126.92
TRIP00029021,TRK00014,500.4,216.18,126.92
TRIP00030073,TRK00014,526.6,216.18,126.92
TRIP00034671,TRK00014,560.1,216.18,126.92
TRIP00043704,TRK00014,495.3,216.18,126.92
TRIP00046831,TRK00014,481.7,216.18,126.92
TRIP00048921,TRK00014,507.3,216.18,126.92
TRIP00049197,TRK00014,521.9,216.18,126.92
TRIP00049265,TRK00014,581.3,216.18,126.92
TRIP00050730,TRK00014,477.9,216.18,126.92
TRIP00054282,TRK00014,483.2,216.18,126.92
TRIP00057478,TRK00014,478.0,216.18,126.92
TRIP00059530,TRK00014,478.0,216.18,126.92
TRIP00060216,TRK00014,482.9,216.18,126.92
TRIP00068304,TRK00014,554.9,216.18,126.92
TRIP00071547,TRK00014,502.3,216.18,126.92
TRIP00077892,TRK00014,523.6,216.18,126.92
TRIP00078197,TRK00014,473.1,216.18,126.92
TRIP00082006,TRK00014,485.2,216.18,126.92
TRIP00003695,TRK00015,519.2,223.96,127.72
TRIP00004380,TRK00015,485.3,223.96,127.72
TRIP00007045,TRK00015,495.9,223.96,127.72
TRIP00008851,TRK00015,531.2,223.96,127.72
TRIP00013365,TRK00015,522.7,223.96,127.72
TRIP00015834,TRK00015,509.6,223.96,127.72
TRIP00017966,TRK00015,487.8,223.96,127.72
TRIP00018480,TRK00015,531.6,223.96,127.72
TRIP00020125,TRK00015,480.1,223.96,127.72
TRIP00022978,TRK00015,515.2,223.96,127.72
TRIP00028279,TRK00015,488.2,223.96,127.72
TRIP00034804,TRK00015,492.5,223.96,127.72
TRIP00047918,TRK00015,506.1,223.96,127.72
TRIP00051462,TRK00015,530.2,223.96,127.72
TRIP00053220,TRK00015,490.9,223.96,127.72
TRIP00054511,TRK00015,498.9,223.96,127.72
TRIP00057195,TRK00015,495.9,223.96,127.72
TRIP00060399,TRK00015,502.5,223.96,127.72
TRIP00066059,TRK00015,480.8,223.96,127.72
TRIP00066320,TRK00015,495.2,223.96,127.72
TRIP00066524,TRK00015,565.4,223.96,127.72
TRIP00069822,TRK00015,483.3,223.96,127.72
TRIP00074773,TRK00015,492.2,223.96,127.72
TRIP00076732,TRK00015,481.3,223.96,127.72
TRIP00077028,TRK00015,543.7,223.96,127.72
TRIP00077163,TRK00015,489.9,223.96,127.72
TRIP00083912,TRK00015,525.4,223.96,127.72
TRIP00000546,TRK00016,545.8,225.13,127.49
TRIP00001291,TRK00016,546.0,225.13,127.49
TRIP00006792,TRK00016,496.6,225.13,127.49
TRIP00018214,TRK00016,507.5,225.13,127.49
TRIP00021095,TRK00016,486.6,225.13,127.49
TRIP00026303,TRK00016,494.0,225.13,127.49
TRIP00048747,TRK00016,505.8,225.13,127.49
TRIP00049158,TRK00016,569.1,225.13,127.49
TRIP00057792,TRK00016,525.8,225.13,127.49
TRIP00059532,TRK00016,493.2,225.13,127.49
TRIP00070016,TRK00016,510.7,225.13,127.49
TRIP00083893,TRK00016,530.3,225.13,127.49
TRIP00000513,TRK00018,491.2,215.71,125.79
TRIP00004022,TRK00018,550.6,215.71,125.79
TRIP00005017,TRK00018,476.7,215.71,125.79
TRIP00006161,TRK00018,468.8,215.71,125.79
TRIP00009537,TRK00018,499.1,215.71,125.79
TRIP00014560,TRK00018,485.2,215.71,125.79
TRIP00019248,TRK00018,480.7,215.71,125.79
TRIP00029410,TRK00018,507.4,215.71,125.79
TRIP00038036,TRK00018,477.5,215.71,125.79
TRIP00038507,TRK00018,468.5,215.71,125.79
TRIP00042601,TRK00018,482.3,215.71,125.79
TRIP00048013,TRK00018,529.9,215.71,125.79
TRIP00054207,TRK00018,492.1,215.71,125.79
TRIP00054489,TRK00018,471.6,215.71,125.79
TRIP00080407,TRK00018,489.1,215.71,125.79
TRIP00082709,TRK00018,563.5,215.71,125.79
TRIP00083487,TRK00018,478.5,215.71,125.79
TRIP00083752,TRK00018,578.5,215.71,125.79
TRIP00001985,TRK00019,563.5,226.04,132.44
TRIP00006899,TRK00019,548.3,226.04,132.44
TRIP00009612,TRK00019,492.6,226.04,132.44
TRIP00010612,TRK00019,526.4,226.04,132.44
TRIP00010617,TRK00019,500.0,226.04,132.44
TRIP00016153,TRK00019,506.1,226.04,132.44
TRIP00019797,TRK00019,493.3,226.04,132.44
TRIP00036520,TRK00019,559.2,226.04,132.44
TRIP00037371,TRK00019,541.4,226.04,132.44
TRIP00043516,TRK00019,507.7,226.04,132.44
TRIP00046158,TRK00019,536.8,226.04,132.44
TRIP00052556,TRK00019,534.1,226.04,132.44
TRIP00053216,TRK00019,555.1,226.04,132.44
TRIP00056768,TRK00019,512.9,226.04,132.44
TRIP00065021,TRK00019,538.9,226.04,132.44
TRIP00067998,TRK00019,553.9,226.04,132.44
TRIP00070635,TRK00019,503.2,226.04,132.44
TRIP00071004,TRK00019,508.8,226.04,132.44
TRIP00081600,TRK00019,497.8,226.04,132.44
TRIP00007324,TRK00020,485.2,223.12,125.82
TRIP00015250,TRK00020,550.6,223.12,125.82
TRIP00018153,TRK00020,590.5,223.12,125.82
TRIP00031199,TRK00020,478.1,223.12,125.82
TRIP00035872,TRK00020,535.3,223.12,125.82
TRIP00038801,TRK00020,580.8,223.12,125.82
TRIP00047428,TRK00020,589.1,223.12,125.82
TRIP00055724,TRK00020,481.1,223.12,125.82
TRIP00058024,TRK00020,540.3,223.12,125.82
TRIP00067527,TRK00020,495.4,223.12,125.82
TRIP00072828,TRK00020,480.9,223.12,125.82
TRIP00082760,TRK00020,587.2,223.12,125.82
TRIP00083468,TRK00020,497.4,223.12,125.82
TRIP00004349,TRK00023,491.0,225.38,124.32
TRIP00027315,TRK00023,523.6,225.38,124.32
TRIP00038488,TRK00023,554.6,225.38,124.32
TRIP00040332,TRK00023,527.5,225.38,124.32
TRIP00043302,TRK00023,500.4,225.38,124.32
TRIP00044805,TRK00023,543.4,225.38,124.32
TRIP00045278,TRK00023,485.8,225.38,124.32
TRIP00045909,TRK00023,574.2,225.38,124.32
TRIP00049878,TRK00023,488.6,225.38,124.32
TRIP00053953,TRK00023,511.8,225.38,124.32
TRIP00054933,TRK00023,528.6,225.38,124.32
TRIP00060047,TRK00023,480.5,225.38,124.32
TRIP00064629,TRK00023,516.2,225.38,124.32
TRIP00068539,TRK00023,550.2,225.38,124.32
TRIP00069161,TRK00023,475.0,225.38,124.32
TRIP00075310,TRK00023,520.4,225.38,124.32
TRIP00076701,TRK00023,497.0,225.38,124.32
TRIP00079471,TRK00023,490.1,225.38,124.32
TRIP00000489,TRK00024,518.6,224.3,123.67
TRIP00001127,TRK00024,517.3,224.3,123.67
TRIP00005619,TRK00024,550.1,224.3,123.67
TRIP00010306,TRK00024,509.2,224.3,123.67
TRIP00011648,TRK00024,477.0,224.3,123.67
TRIP00020243,TRK00024,509.4,224.3,123.67
TRIP00026205,TRK00024,582.9,224.3,123.67
TRIP00040389,TRK00024,490.6,224.3,123.67
TRIP00049141,TRK00024,475.1,224.3,123.67
TRIP00058567,TRK00024,484.1,224.3,123.67
TRIP00059244,TRK00024,493.9,224.3,123.67
TRIP00059332,TRK00024,481.6,224.3,123.67
TRIP00062293,TRK00024,486.3,224.3,123.67
TRIP00062309,TRK00024,516.1,224.3,123.67
TRIP00070267,TRK00024,517.6,224.3,123.67
TRIP00070552,TRK00024,502.6,224.3,123.67
TRIP00072322,TRK00024,501.8,224.3,123.67
TRIP00074110,TRK00024,472.4,224.3,123.67
TRIP00081276,TRK00024,501.3,224.3,123.67
TRIP00083181,TRK00024,476.0,224.3,123.67
TRIP00001939,TRK00025,507.8,220.87,126.25
TRIP00002096,TRK00025,484.4,220.87,126.25
TRIP00003804,TRK00025,487.3,220.87,126.25
TRIP00004260,TRK00025,483.2,220.87,126.25
TRIP00008773,TRK00025,489.4,220.87,126.25
TRIP00029718,TRK00025,507.1,220.87,126.25
TRIP00031340,TRK00025,560.7,220.87,126.25
TRIP00033811,TRK00025,492.2,220.87,126.25
TRIP00047486,TRK00025,477.7,220.87,126.25
TRIP00051594,TRK00025,486.3,220.87,126.25
TRIP00062749,TRK00025,498.6,220.87,126.25
TRIP00064717,TRK00025,498.2,220.87,126.25
TRIP00072893,TRK00025,484.7,220.87,126.25
TRIP00074637,TRK00025,507.5,220.87,126.25
TRIP00080943,TRK00025,531.9,220.87,126.25
TRIP00083166,TRK00025,481.5,220.87,126.25
TRIP00083970,TRK00025,493.9,220.87,126.25
TRIP00085373,TRK00025,538.5,220.87,126.25
TRIP00013750,TRK00026,483.3,217.96,121.87
TRIP00021246,TRK00026,468.5,217.96,121.87
TRIP00026628,TRK00026,512.5,217.96,121.87
TRIP00033399,TRK00026,489.4,217.96,121.87
TRIP00038035,TRK00026,484.8,217.96,121.87
TRIP00039218,TRK00026,527.0,217.96,121.87
TRIP00039806,TRK00026,473.4,217.96,121.87
TRIP00056321,TRK00026,566.8,217.96,121.87
TRIP00061023,TRK00026,472.5,217.96,121.87
TRIP00061473,TRK00026,485.5,217.96,121.87
TRIP00062742,TRK00026,472.0,217.96,121.87
TRIP00063205,TRK00026,496.5,217.96,121.87
TRIP00067926,TRK00026,532.5,217.96,121.87
TRIP00072218,TRK00026,555.6,217.96,121.87
TRIP00077025,TRK00026,477.8,217.96,121.87
TRIP00078173,TRK00026,487.6,217.96,121.87
TRIP00082441,TRK00026,494.7,217.96,121.87
TRIP00000183,TRK00029,486.7,225.4,126.54
TRIP00012640,TRK00029,484.5,225.4,126.54
TRIP00024594,TRK00029,512.2,225.4,126.54
TRIP00028466,TRK00029,488.1,225.4,126.54
TRIP00029014,TRK00029,486.6,225.4,126.54
TRIP00031322,TRK00029,494.9,225.4,126.54
TRIP00031619,TRK00029,504.0,225.4,126.54
TRIP00039500,TRK00029,523.6,225.4,126.54
TRIP00041255,TRK00029,487.5,225.4,126.54
TRIP00045673,TRK00029,555.5,225.4,126.54
TRIP00046792,TRK00029,552.5,225.4,126.54
TRIP00059009,TRK00029,560.0,225.4,126.54
TRIP00073533,TRK00029,489.7,225.4,126.54
TRIP00083843,TRK00029,582.0,225.4,126.54
TRIP00002238,TRK00030,541.6,225.09,127.53
TRIP00011791,TRK00030,599.5,225.09,127.53
TRIP00014781,TRK00030,522.1,225.09,127.53
TRIP00028371,TRK00030,487.6,225.09,127.53
TRIP00033562,TRK00030,492.6,225.09,127.53
TRIP00036181,TRK00030,520.0,225.09,127.53
TRIP00039086,TRK00030,499.7,225.09,127.53
TRIP00040594,TRK00030,529.0,225.09,127.53
TRIP00043510,TRK00030,480.2,225.09,127.53
TRIP00046814,TRK00030,510.0,225.09,127.53
TRIP00050766,TRK00030,505.6,225.09,127.53
TRIP00053751,TRK00030,563.1,225.09,127.53
TRIP00072844,TRK00030,534.1,225.09,127.53
TRIP00078274,TRK00030,482.3,225.09,127.53
TRIP00080104,TRK00030,494.3,225.09,127.53
TRIP00083305,TRK00030,497.7,225.09,127.53
TRIP00000140,TRK00031,562.6,219.87,129.67
TRIP00004551,TRK00031,483.0,219.87,129.67
TRIP00005372,TRK00031,558.0,219.87,129.67
TRIP00005943,TRK00031,586.4,219.87,129.67
TRIP00008132,TRK00031,517.0,219.87,129.67
TRIP00009609,TRK00031,562.4,219.87,129.67
TRIP00013420,TRK00031,480.2,219.87,129.67
TRIP00019741,TRK00031,572.8,219.87,129.67
TRIP00028961,TRK00031,491.3,219.87,129.67
TRIP00030550,TRK00031,542.3,219.87,129.67
TRIP00032216,TRK00031,489.1,219.87,129.67
TRIP00033104,TRK00031,502.0,219.87,129.67
TRIP00036081,TRK00031,498.1,219.87,129.67
TRIP00037120,TRK00031,544.4,219.87,129.67
TRIP00041668,TRK00031,484.7,219.87,129.67
TRIP00043367,TRK00031,480.8,219.87,129.67
TRIP00043989,TRK00031,518.8,219.87,129.67
TRIP00050803,TRK00031,483.4,219.87,129.67
TRIP00051750,TRK00031,528.1,219.87,129.67
TRIP00056447,TRK00031,510.9,219.87,129.67
TRIP00057330,TRK00031,489.9,219.87,129.67
TRIP00059572,TRK00031,485.6,219.87,129.67
TRIP00068819,TRK00031,485.7,219.87,129.67
TRIP00084102,TRK00031,535.7,219.87,129.67
TRIP00004338,TRK00033,473.2,218.07,125.82
TRIP00006231,TRK00033,470.6,218.07,125.82
TRIP00008527,TRK00033,487.7,218.07,125.82
TRIP00012713,TRK00033,490.7,218.07,125.82
TRIP00021356,TRK00033,479.6,218.07,125.82
TRIP00031768,TRK00033,585.0,218.07,125.82
TRIP00036657,TRK00033,505.3,218.07,125.82
TRIP00039381,TRK00033,479.8,218.07,125.82
TRIP00040370,TRK00033,470.7,218.07,125.82
TRIP00042395,TRK00033,532.4,218.07,125.82
TRIP00043841,TRK00033,469.8,218.07,125.82
TRIP00045021,TRK00033,572.3,218.07,125.82
TRIP00047106,TRK00033,556.9,218.07,125.82
TRIP00057084,TRK00033,504.8,218.07,125.82
TRIP00057336,TRK00033,514.4,218.07,125.82
TRIP00059317,TRK00033,553.9,218.07,125.82
TRIP00066440,TRK00033,470.2,218.07,125.82
TRIP00071259,TRK00033,600.4,218.07,125.82
TRIP00071566,TRK00033,523.2,218.07,125.82
TRIP00074936,TRK00033,491.2,218.07,125.82
TRIP00078359,TRK00033,493.1,218.07,125.82
TRIP00079889,TRK00033,494.7,218.07,125.82
TRIP00083010,TRK00033,474.9,218.07,125.82
TRIP00009029,TRK00035,502.7,223.72,125.99
TRIP00012972,TRK00035,508.2,223.72,125.99
TRIP00014879,TRK00035,477.5,223.72,125.99
TRIP00030173,TRK00035,490.6,223.72,125.99
TRIP00032376,TRK00035,480.6,223.72,125.99
TRIP00041796,TRK00035,512.3,223.72,125.99
TRIP00045921,TRK00035,558.1,223.72,125.99
TRIP00048582,TRK00035,517.2,223.72,125.99
TRIP00051829,TRK00035,507.3,223.72,125.99
TRIP00052608,TRK00035,479.1,223.72,125.99
TRIP00053113,TRK00035,492.8,223.72,125.99
TRIP00054822,TRK00035,496.3,223.72,125.99
TRIP00056891,TRK00035,526.5,223.72,125.99
TRIP00066302,TRK00035,488.1,223.72,125.99
TRIP00067633,TRK00035,477.9,223.72,125.99
TRIP00084091,TRK00035,490.7,223.72,125.99
TRIP00023304,TRK00036,499.7,214.99,121.73
TRIP00027710,TRK00036,507.1,214.99,121.73
TRIP00030162,TRK00036,588.5,214.99,121.73
TRIP00030583,TRK00036,464.2,214.99,121.73
TRIP00032219,TRK00036,480.7,214.99,121.73
TRIP00034456,TRK00036,473.5,214.99,121.73
TRIP00052857,TRK00036,539.2,214.99,121.73
TRIP00058324,TRK00036,482.2,214.99,121.73
TRIP00060609,TRK00036,525.1,214.99,121.73
TRIP00064053,TRK00036,493.9,214.99,121.73
TRIP00067676,TRK00036,469.1,214.99,121.73
TRIP00069491,TRK00036,459.0,214.99,121.73
TRIP00069649,TRK00036,462.6,214.99,121.73
TRIP00077302,TRK00036,473.6,214.99,121.73
TRIP00078089,TRK00036,492.8,214.99,121.73
TRIP00004978,TRK00038,480.5,215.81,123.65
TRIP00006131,TRK00038,470.3,215.81,123.65
TRIP00007269,TRK00038,464.2,215.81,123.65
TRIP00010946,TRK00038,478.0,215.81,123.65
TRIP00011085,TRK00038,479.8,215.81,123.65
TRIP00021320,TRK00038,509.9,215.81,123.65
TRIP00024712,TRK00038,464.4,215.81,123.65
TRIP00024922,TRK00038,468.4,215.81,123.65
TRIP00025318,TRK00038,475.5,215.81,123.65
TRIP00041588,TRK00038,592.0,215.81,123.65
TRIP00041667,TRK00038,486.7,215.81,123.65
TRIP00042111,TRK00038,468.7,215.81,123.65
TRIP00043885,TRK00038,469.4,215.81,123.65
TRIP00046837,TRK00038,485.3,215.81,123.65
TRIP00061504,TRK00038,479.5,215.81,123.65
TRIP00062861,TRK00038,481.8,215.81,123.65
TRIP00063102,TRK00038,526.9,215.81,123.65
TRIP00073452,TRK00038,472.8,215.81,123.65
TRIP00077515,TRK00038,471.8,215.81,123.65
TRIP00081111,TRK00038,525.4,215.81,123.65
TRIP00004319,TRK00039,499.7,219.44,128.45
TRIP00005085,TRK00039,491.3,219.44,128.45
TRIP00007430,TRK00039,479.9,219.44,128.45
TRIP00014456,TRK00039,572.9,219.44,128.45
TRIP00029281,TRK00039,483.9,219.44,128.45
TRIP00030596,TRK00039,545.7,219.44,128.45
TRIP00039222,TRK00039,523.5,219.44,128.45
TRIP00042424,TRK00039,531.9,219.44,128.45
TRIP00043626,TRK00039,476.7,219.44,128.45
TRIP00052523,TRK00039,586.2,219.44,128.45
TRIP00053055,TRK00039,540.7,219.44,128.45
TRIP00053592,TRK00039,552.7,219.44,128.45
TRIP00057540,TRK00039,479.1,219.44,128.45
TRIP00059958,TRK00039,529.2,219.44,128.45
TRIP00060462,TRK00039,500.4,219.44,128.45
TRIP00062044,TRK00039,502.9,219.44,128.45
TRIP00064038,TRK00039,569.0,219.44,128.45
TRIP00076606,TRK00039,543.1,219.44,128.45
TRIP00005716,TRK00040,477.2,211.98,120.47
TRIP00006097,TRK00040,584.1,211.98,120.47
TRIP00008739,TRK00040,465.7,211.98,120.47
TRIP00009380,TRK00040,476.0,211.98,120.47
TRIP00011807,TRK00040,453.2,211.98,120.47
TRIP00024683,TRK00040,491.7,211.98,120.47
TRIP00026678,TRK00040,507.2,211.98,120.47
TRIP00026920,TRK00040,471.3,211.98,120.47
TRIP00038728,TRK00040,512.8,211.98,120.47
TRIP00039684,TRK00040,550.8,211.98,120.47
TRIP00044888,TRK00040,459.3,211.98,120.47
TRIP00045133,TRK00040,521.3,211.98,120.47
TRIP00051076,TRK00040,458.0,211.98,120.47
TRIP00053969,TRK00040,520.2,211.98,120.47
TRIP00055438,TRK00040,487.3,211.98,120.47
TRIP00057635,TRK00040,454.5,211.98,120.47
